"福祉タクシーを利用したいのですが？","福祉局"
"国民健康保険に加入したいのですが？","福祉局"
"介護保険制度のサービスにはどのようなものがありますか？","福祉局"
"出産した時にお金がもらえるというのは本当ですか？","福祉局"
"国民健康保険証をなくしてしまったときは？","福祉局"
"以前、国民健康保険に加入していたが、現在は、会社に就職して社会保険に加入したのに、国民健康保険料の決定通知書が届いた。","福祉局"
"退職者医療制度とは何ですか？","福祉局"
"大阪市国民健康保険の葬祭費について知りたい。","福祉局"
"介護サービスへの相談や苦情の問合せは？","福祉局"
"要約筆記ボランティアについて教えてください。","福祉局"
"いきいきエイジングセンターとはなんですか？","福祉局"
"会社を退職し、所得が激減したのに保険料が高いのはなぜですか？","福祉局"
"国民健康保険料の決定通知書(兼納付書)が届かないのですが？","福祉局"
"大阪市外へ転出します。国民健康保険証はどうすればよいでしょうか？","福祉局"
"介護保険のサービスを利用したいのですが、手続きの流れを教えてください。","福祉局"
"年金手帳を紛失したので再発行してもらいたい。(第1号被保険者のみ)","福祉局"
"福祉の店とはどんなところですか？","福祉局"
"後期高齢者医療制度とは何ですか？","福祉局"
"65歳以上で障がいを持っていますが、医療費の援助はありますか？","福祉局"
"介護保険被保険者証をなくしてしまったのですが？","福祉局"
"国民健康保険で高額医療費の払い戻しがあると聞いたのですが、どうすればよいのですか？","福祉局"
"今まで国民健康保険でしたが、職場の健康保険をもらいました。国民健康保険の手続きは必要ですか？","福祉局"
"区役所には障がい者向けの外出支援の送迎サービスはあるか？","福祉局"
"国民年金(第1号被保険者)に加入しているが、今後、就職し厚生年金に加入することになりました。区役所への届出は必要ですか？","福祉局"
"後期高齢者医療制度の葬祭費について知りたい。","福祉局"
"生活保護を受けるための手続きと支給金額について教えてください。","福祉局"
"国民年金への加入手続きはどうするのですか？","福祉局"
"ボランティアをやってみたい(依頼したい)のですが、どこでわかりますか？","福祉局"
"後期高齢者医療制度での保険料の減額はありますか","福祉局"
"後期高齢者医療制度の保険料はいくらになるのですか","福祉局"
"後期高齢者医療制度の被保険者証はいつもらえますか。","福祉局"
"シルバー人材センターではどのようなことをしていますか？","福祉局"
"後期高齢者医療制度では医療機関での負担はどうなりますか。","福祉局"
"介護用品を支給してもらえますか？","福祉局"
"国民健康保険高齢受給者証とはどういうものですか？","福祉局"
"障がい者にはタクシー料金の助成があるのですか？","福祉局"
"国民健康保険をやめる届出は？","福祉局"
"国民健康保険料の計算方法は？","福祉局"
"人間ドックを受診したいのですが、市として費用の補助制度はありますか？","福祉局"
"他の市町村から、大阪市に引っ越してきて国民健康保険に加入した場合、保険料はどのようになりますか？","福祉局"
"身体障がいや知的障がいのある人の就職についての相談はどこに行けばいいですか？","福祉局"
"職業指導センターというのがあると聞いたのですが？","福祉局"
"どんなときに国民年金(第1号被保険者)への加入が必要なのですか？","福祉局"
"社会福祉センターの事業内容を知りたい。","福祉局"
"戦没者の遺族に対して何か援助はありますか？","福祉局"
"出産費を貸してもらえると聞いたのですが？","福祉局"
"緊急援護資金について教えてください。","福祉局"
"生活福祉資金にはどんなものがありますか？","福祉局"
"点訳ボランティアというのは、どのようなものですか？どうすればなれますか？","福祉局"
"高齢者に食事の配給サービスがありますか？","福祉局"
"寡婦年金について知りたい。","福祉局"
"国民年金の給付の種類について知りたい。","福祉局"
"遺族基礎年金について知りたい。","福祉局"
"高齢者を介護している家族に、お金を支給してもらえますか？","福祉局"
"あんしんさぽーと事業について教えてください。","福祉局"
"成年後見制度について教えてください。","福祉局"
"人工透析を受けているのですが、医療費助成は受けられますか。","福祉局"
"子どもが生まれたので、国民健康保険に加入する人数が増えました。その後、保険料変更決定通知書が届き、均等割保険料が増額されていました。なぜ増えるのでしょうか？","福祉局"
"国民健康保険について詳しく教えてください。","福祉局"
"高齢者住宅改修費(バリアフリーなど)を助成してもらえませんか？","福祉局"
"地域包括支援センターはどのようなことを行っていますか？","福祉局"
"国民年金の「保険料」はどのようにして払ったらよいですか？(第1号被保険者の場合)","福祉局"
"生活保護施設とはどのような施設ですか？","福祉局"
"在日外国人高齢者給付金とは何ですか？","福祉局"
"介護保険制度はどのような制度ですか？","福祉局"
"国民健康保険料の納付が困難で払えないときはどうしたらいいですか？","福祉局"
"国民健康保険料が昨年度より高いのですが、理由がわかりません。","福祉局"
"障がい者やその家族の相談に乗ってくれるところはありますか？","福祉局"
"国民年金保険料を口座で引き落としをしている場合、残高が少なくなっていて引き落としができなかった時は、どのようにしたらいいのですか？","福祉局"
"死亡一時金について知りたい。","福祉局"
"国民年金基金について知りたい。","福祉局"
"行きたい施設がバリアフリーになっているかどうかパソコンで調べられますか？","福祉局"
"民生委員のことについて教えてください。選出方法は？","福祉局"
"シルバーボランティアセンターというのがあると聞いたのですが？","福祉局"
"高齢者が娯楽のために利用できる施設はありますか？","福祉局"
"障がい者の歯科診療や在宅訪問歯科診療について教えてください。","福祉局"
"身体障がいのある人や難病等を有する人が杖や椅子を購入する時に費用の助成があると聞いたのですが？","福祉局"
"高齢者が入所できる施設にはどのようなものがありますか？","福祉局"
"高齢者に、市バスや地下鉄などの割引はありますか？","福祉局"
"老齢基礎年金について教えてください。","福祉局"
"電話による年金相談をしたい。","福祉局"
"生活保護とは何ですか？","福祉局"
"国民年金を受取っている人が行う届出にはどんなものがありますか？","福祉局"
"文化施設に入場する際、敬老優待が受けられますか？","福祉局"
